Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
la Potârnichea,potârniche,2,44.3623240038361,27.3884700533872,Calarasi,Altele,3309,la Potârnichea,PDT,Limba română
Dealul Potârnichii,potârniche,2,44.0904357612741,28.4816487425131,Constanta,Deal,2861,Dealul Potârnichii,Geomil 25000,Limba română
Movila Potârnichea,potârniche,2,45.6553206192229,27.7053077266638,Galati,Înălțime,745,Movila Potârnichea,Geomil 25000,Limba română
Valea Potârnichea,potârniche,2,45.6914434079249,27.7301120785965,Galati,Vale,3523,Valea Potârnichea,Geomil 25000,Limba română
Pădurea Potârnichea,potârniche,2,44.8484522372954,23.8792526541325,Valcea,Pădure,3093,Pădurea Potârnichea,Geomil 25000,Limba română
