Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1
Dealu Turceștilor,turcești,3,46.4382743987624,23.3409340292947,Alba,Deal,12762,,Dealu Turceștilor,Geomil 25000,Limba română
Türkenschanze (Șanțurile Turcești),turcești,3,46.1066488909535,21.482470170596,Arad,Altele,10293,,Türkenschanze (Șanțurile Turcești),Ungară 1869,Limba germană
Turcești,turcești,3,44.837922560765,24.8710055541931,Arges,Localitate,9358,,Turcești,PDT,Limba română
Han Stupi Turcești,turcești,3,44.0190606814001,25.6736845062555,Giurgiu,Altele,12128,12129,Han Stupi Turcești,Austriacă,Limba română
Stupii Turczesti,turcești,3,43.9626717281593,25.6702361687746,Giurgiu,Altele,12129,,Stupii Turczesti,Oltenia-Muntenia (1790),Limba română
