Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1
Italienii,italieni,2,44.3017122465846,23.5995109072052,Dolj,Localitate,3365,,Italienii,PDT,Limba română
Satul Italienilor,italieni,2,44.3082469816899,23.7815554863856,Dolj,Localitate,12597,,Satul Italienilor,British Maps (1944),Limba română
Valea Italienilor,italieni,2,44.2988891652172,23.5936338779098,Dolj,Vale,3366,3365,Valea Italienilor,Geomil 25000,Limba română
Italianul,italian,3,47.4217106859224,25.3226687229,Suceava,Vale,11167,,Italianul,Geomil 25000,Limba română
Pârâul Italienilor,italieni,2,47.3907898717892,25.2772990696298,Suceava,Vale,6382,,Pârâul Italienilor,Geomil 25000,Limba română
