Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Grindul Țiganului,țigan,3,43.7150407656744,25.1936240259456,Teleorman,Apă-deal-câmpie,9461,Grindul Țiganului,PDT,Limba română
Lacu Țiganului,țigan,3,43.6582933420632,25.5622190546765,Teleorman,Apă-deal-câmpie,323,Lacu Țiganului,Geomil 25000,Limba română
Lacul Țiganului,țigan,3,44.2405904453535,25.0628967226069,Teleorman,Lac,3728,Lacul Țiganului,PDT,Limba română
Măgura Țiganului,țigan,3,44.0188022893348,24.8386574432053,Teleorman,Înălțime,1363,Măgura Țiganului,Geomil 25000,Limba română
Movila Țiganului,țigan,3,43.7220208029543,25.5533071298957,Teleorman,Înălțime,325,Movila Țiganului,Geomil 25000,Limba română,Movila Țiganului,PDT,Limba română
Padina Țiganului,țigan,3,44.1543614780435,25.3505212919784,Teleorman,Înălțime,1250,Padina Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,43.9020062294795,25.1201129552092,Teleorman,Vale,1380,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.3528322098135,24.8683239576213,Teleorman,Vale,10987,Valea Țiganului,PDT,Limba română
Dealu Țiganului,țigan,3,45.8377763317414,21.490855081735,Timis,Deal,10208,Dealu Țiganului,Geomil 25000,Limba română
Fața Țiganului,țigan,3,45.6596079577814,22.2434330910376,Timis,Înălțime,6183,Fața Țiganului,PDT,Limba română
Ogașu Țiganului,țigan,3,45.5782604176173,21.9275775483567,Timis,Altele,5681,Ogașu Țiganului,Geomil 25000,Limba română
Pârâu Țiganului,țigan,3,45.8200993171513,22.4664159317397,Timis,Altele,4290,Pârâu Țiganului,Geomil 25000,Limba română
Pârâul Țiganului,țigan,3,45.9144151231794,22.3186677055831,Timis,Vale,6203,Pârâul Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,45.9376744208715,22.3212839803797,Timis,Vale,870,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,45.6766061170058,22.2605140125183,Timis,Vale,6071,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,45.8387790102589,22.4383099636171,Timis,Vale,6210,Valea Țiganului,Geomil 25000,Limba română
Muchia Țiganului,țigan,3,44.9685429874683,28.3629108143799,Tulcea,Înălțime,2883,Muchia Țiganului,Geomil 25000,Limba română
Pepiniera Fântâna Țiganului,țigan,3,44.8864267443409,28.6051764549639,Tulcea,Altele,9300,Pepiniera Fântâna Țiganului,Geomil 25000,Limba română
Grindul Țigănuș,țigănaș,4,44.8510328676205,29.5076601397692,Tulcea,Apă-deal-câmpie,2911,Grindul Țigănuș,Geomil 25000,Limba română
Curmătura Țiganului,țigan,3,45.3639013533587,23.5867047485186,Valcea,Înălțime,11575,Curmătura Țiganului,Geomil 25000,Limba română
Pârâul Valea Țiganului,țigan,3,44.9082669106953,24.0203000327979,Valcea,Vale,2945,Pârâul Valea Țiganului,Geomil 25000,Limba română
Priporul Țiganului,țigan,3,45.2198682360352,23.8369706458326,Valcea,Înălțime,2925,Priporul Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.864082021307,23.8126137592819,Valcea,Vale,248,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,45.451217163234,24.3775563935005,Valcea,Vale,7506,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.7826042674753,24.0144889720138,Valcea,Vale,8419,Valea Țiganului,Geomil 25000,Limba română,Valea Țiganului,PDT,Limba română
Râpa Țiganului,țigan,3,46.6069311622048,27.8491349462117,Vaslui,Înălțime,8855,Râpa Țiganului,PDT,Limba română
Cotul Țiganului,țigan,3,45.6556737217231,27.3239172833869,Vrancea,Apă-deal-câmpie,9253,Cotul Țiganului,PDT,Limba română
Grădina Țiganului,țigan,3,45.5659360979034,26.7473753636931,Vrancea,Altele,8755,Grădina Țiganului,PDT,Limba română
Pârâul Țiganului,țigan,3,46.0227020229023,26.7521472227445,Vrancea,Vale,9199,Pârâul Țiganului,PDT,Limba română
Pârâul Țîganului,țigan,3,45.8954828904041,26.4572657388137,Vrancea,Vale,13850,Pârâul Țîganului,Geomil 25000,Limba română
Piscul Țiganului,țigan,3,46.0954232906,26.9579468408,Vrancea,Înălțime,5284,Piscul Țiganului,Geomil 25000,Limba română
Țigănașu,țigănaș,4,45.7727395801639,26.6543654957739,Vrancea,Înălțime,9221,Țigănașu,Geomil 25000,Limba română
