Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Dealul Țiganului,țigan,3,48.1177974738729,26.5782657198937,Botosani,Deal,1812,Dealul Țiganului,Geomil 25000,Limba română
Dealul Țiganului,țigan,3,48.0268486859554,26.8562236788325,Botosani,Deal,2398,Dealul Țiganului,Geomil 25000,Limba română
Gârla Țiganului,țigan,3,48.0565958331373,26.2380521905717,Botosani,Vale,14091,Gârla Țiganului,Geomil 25000,Limba română
Movila Țiganului,țigan,3,47.8826932422247,26.7310799933591,Botosani,,2409,Movila Țiganului,Geomil 25000,Limba română,Movila Țiganului,PDT,Limba română
Pârâul Țiganu,țigan,3,47.7525414478974,26.6935787556974,Botosani,Vale,7766,Pârâul Țiganu,PDT,Limba română
Țiganul,țigan,3,48.0326770561251,26.3430109764566,Botosani,Vale,14092,Țiganul,Geomil 25000,Limba română
Valea Țiganului,țigan,3,48.0567036505343,26.6277263453381,Botosani,Vale,1814,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,48.0313926271298,26.8681172425729,Botosani,Vale,2399,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,47.7604897922471,26.7266996193059,Botosani,Vale,7765,Valea Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,48.12204005467,26.3275238003779,Botosani,Vale,14093,Valea Țiganului,Geomil 25000,Limba română
Cotu Țiganului,țigan,3,45.2591743301947,27.4521609592368,Braila,Apă-deal-câmpie,8717,Cotu Țiganului,PDT,Limba română
Lacul Țiganului,țigan,3,45.3657730452467,27.8126228495438,Braila,Lac,12618,Lacul Țiganului,British Maps (1944),Limba română
Malul Țiganului,țigan,3,45.1421270399096,27.2416531512853,Braila,Altele,487,Malul Țiganului,Geomil 25000,Limba română
Movila Țiganului,țigan,3,45.0363970427164,27.2564931999148,Braila,Înălțime,3591,Movila Țiganului,PDT,Limba română
Movila Țiganului,țigan,3,44.9739792849422,27.7339850985787,Braila,Înălțime,6722,Movila Țiganului,PDT,Limba română
Movila Țiganului,țigan,3,44.9242268166218,27.361468266376,Braila,Înălțime,6735,Movila Țiganului,PDT,Limba română
Movila Țiganului,țigan,3,44.9976922378117,26.7449518879894,Braila,Înălțime,6739,Movila Țiganului,PDT,Limba română
Movila Țiganului,țigan,3,44.8677848887932,27.5906292888712,Braila,Înălțime,12613,Movila Țiganului,PDT,Limba română
Movila Țiganului,țigan,3,44.9523683021981,27.738061591505,Braila,Înălțime,12791,Movila Țiganului,PDT,Limba română
Puțul Țiganului,țigan,3,45.329375120277,27.9540067403428,Braila,Altele,12621,Puțul Țiganului,British Maps (1944),Limba română
Coasta Țiganului,țigan,3,45.8502860856529,25.3899014142062,Brasov,Înălțime,2693,Coasta Țiganului,Geomil 25000,Limba română
Cotul Țiganului,țigan,3,45.5633554041678,25.313169940638,Brasov,Altele,8564,Cotul Țiganului,PDT,Limba română
Curmătura Țiganului,țigan,3,45.616857620823,24.9849220760434,Brasov,Înălțime,11888,Curmătura Țiganului,Geomil 25000,Limba română,Czigana,Transilvania (1769-1773),Limba română
Pârâul Țiganului,țigan,3,45.9852689504436,25.2583861517229,Brasov,Vale,6797,Pârâul Țiganului,PDT,Limba română
Cotul Țiganului,țigan,3,45.0680257827341,26.903053614953,Buzau,Apă-deal-câmpie,11260,Cotul Țiganului,Geomil 25000,Limba română
Movila Țiganului,țigan,3,45.2659109169364,27.3404874590176,Buzau,Înălțime,8719,Movila Țiganului,Geomil 25000,Limba română
Movila Țiganului,țigan,3,45.3248237948504,27.257240847224,Buzau,Înălțime,9271,Movila Țiganului,PDT,Limba română
Movila Țiganului-Mărgineanu,țigan,3,44.9389579474208,26.7152614685053,Buzau,Înălțime,62,Movila Țiganului-Mărgineanu,PDT,Limba română,кург. Циган (movla Țigan),Sovietică,Limba română
Râpa Țiganului,țigan,3,45.1164939830268,26.5124259294284,Buzau,Înălțime,7501,Râpa Țiganului,PDT,Limba română
Valea Puțu Țiganului,țigan,3,44.9197923318615,27.2009003651964,Buzau,Vale,4014,Valea Puțu Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,45.0900112986351,26.8873023314981,Buzau,Vale,11265,Valea Țiganului,Geomil 25000,Limba română
Vârful lui Țigan,țigan,3,45.1736990117332,26.6781919721896,Buzau,Înălțime,76,Vârful lui Țigan,Geomil 25000,Limba română
Lacul Țiganului,țigan,3,44.1208594943472,26.8002502693467,Calarasi,Lac,3265,Lacul Țiganului,PDT,Limba română
Cracul Țiganului,țigan,3,44.8916379999642,21.7886879834834,Caras Severin,Înălțime,8515,Cracul Țiganului,PDT,Limba română
Dealu Țiganului,țigan,3,45.0767335226685,22.332873762343,Caras Severin,Deal,6139,Dealu Țiganului,Geomil 25000,Limba română
Ogașu Țiganului,țigan,3,45.4578587047122,21.9769270314356,Caras Severin,Vale,5694,Ogașu Țiganului,Geomil 25000,Limba română
Ogașu Țiganului,țigan,3,44.8583408653037,21.5687229333795,Caras Severin,Înălțime,8526,Ogașu Țiganului,Geomil 25000,Limba română
Poiana Lacul Țiganului,țigan,3,45.0036387820001,21.8103482382253,Caras Severin,Poiană,12161,Poiana Lacul Țiganului,PDT,Limba română
Strigu Țiganului,țigan,3,44.793216575801,22.3240738633363,Caras Severin,Înălțime,9438,Strigu Țiganului,PDT,Limba română
Tâva Țiganului,țigan,3,45.363553215926,21.8422537734183,Caras Severin,Înălțime,4317,Tâva Țiganului,PDT,Limba română
Dâmbul Țiganului,țigan,3,46.8914805238715,23.5767187584271,Cluj,Înălțime,8941,Dâmbul Țiganului,PDT,Limba română
Gemele Țiganului,țigan,3,46.4919431519861,23.2147975966953,Cluj,Altele,11529,Gemele Țiganului,Geomil 25000,Limba română
Vale Tziganului,țigan,3,46.4748982154206,22.6163954218933,Cluj,Vale,10288,Vale Tziganului,Ungară 1869,Limba română
