Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Dealul Ursarului,ursar,4,44.9553343383057,24.9637676853233,Arges,Deal,15421,Dealul Ursarului,PDT,Limba română
Ursarul,ursar,4,46.0901417717,26.9474701083,Bacau,Vale,5285,Ursarul,Geomil 25000,Limba română
Izvorul Ursăriței,ursăriță,4,45.2172039778454,26.5098368627168,Buzau,Vale,7494,Izvorul Ursăriței,PDT,Limba română
Dealu Ursarului,ursar,4,46.9847734393088,23.681825390964,Cluj,Deal,10402,Dealu Ursarului,Geomil 25000,Limba română
Valea Ursarului,ursar,4,45.0876727224112,25.370828495955,Dambovita,Vale,8821,Valea Ursarului,PDT,Limba română
Valea Ursarului,ursar,4,44.3167041988828,23.7049005793505,Dolj,Vale,12182,Valea Ursarului,PDT,Limba română
Fântâna Ursarilor,ursari,3,43.9430946058117,23.8887744256352,Dolj,Altele,4675,Fântâna Ursarilor,PDT,Limba română
Dealul Ursăreilor,ursărei,4,45.0636089140083,23.1973732541792,Gorj,Deal,5137,Dealul Ursăreilor,Geomil 25000,Limba română
Dealul Ursarului,ursar,4,46.8944187095949,25.4067143884001,Harghita,Deal,7969,Dealul Ursarului,PDT,Limba română
Ursari,ursari,3,44.7294783010232,26.6007323673205,Ialomita,Localitate,12461,Ursari,PDT,Limba română
Dealul Ursarului,ursar,4,46.933675394011,27.1979919842219,Iasi,Deal,11550,Dealul Ursarului,Geomil 25000,Limba română
Pădurea Ursar,ursar,4,44.5800703204299,22.8869247694211,Mehedinti,Pădure,14269,Pădurea Ursar,ANCPI,Limba română
Dealul Ursarului,ursar,4,46.8648415542478,27.0842964780363,Neamt,Deal,14142,Dealul Ursarului,Geomil 25000,Limba română
La Ursari,ursari,3,46.7361319068446,26.5132587751338,Neamt,Altele,3848,La Ursari,Geomil 25000,Limba română
Valea Ursarilor,ursari,3,47.0678380347896,27.1056276120491,Neamt,Vale,14905,Valea Ursarilor,PDT,Limba română
Măgura Ursarilor,ursari,3,43.7506658844708,24.3630526530514,Olt,Înălțime,8021,Măgura Ursarilor,PDT,Limba română
Dealul Ursarilor,ursari,3,47.3937847740798,26.5756224855639,Suceava,Deal,8916,Dealul Ursarilor,PDT,Limba română
Fântâna Ursarului,ursar,4,46.7835645343359,27.4585756121384,Vaslui,Altele,8870,Fântâna Ursarului,PDT,Limba română
Pârâul Ursarului,ursar,4,46.6593815392658,27.5150271417841,Vaslui,Vale,14921,Pârâul Ursarului,PDT,Limba română
Dealul Ursarilor,ursari,3,46.3721486087248,27.5353993055688,Vaslui,Deal,9647,Dealul Ursarilor,Geomil 25000,Limba română
La Cărarea Ursarilor,ursari,3,46.5582073116523,27.6552123045926,Vaslui,Altele,8858,La Cărarea Ursarilor,PDT,Limba română
