Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1
Capu Șatrei,șatră,3,46.7853323522865,23.2398815036168,Cluj,Înălțime,7031,,Capu Șatrei,Geomil 25000,Limba română
Dealu Șatrei,șatră,3,46.7822412754353,23.2378084684239,Cluj,Deal,7030,7031,Dealu Șatrei,Geomil 25000,Limba română
Dealul Șatrei,șatră,3,46.8463174238964,24.0639623480092,Cluj,Deal,5873,5872,Dealul Șatrei,Geomil 25000,Limba română
Pădurea Șatrei,șatră,3,46.7724570600295,23.2548157567399,Cluj,Pădure,7029,7031,Pădurea Șatrei,Geomil 25000,Limba română
Pe Șatră,șatră,3,46.8433121222669,24.0706709697781,Cluj,Altele,5872,,Pe Șatră,Geomil 25000,Limba română
La Șatra,șatră,3,44.50574667872,25.7240088640885,Giurgiu,Altele,4236,,La Șatra,PDT,Limba română
Puțul de la Șatră,șatră,3,44.5043475093701,25.7281598929057,Giurgiu,Altele,4237,4236,Puțul de la Șatră,PDT,Limba română
Sub Șatră,șatră,3,47.5752434756511,23.8364787367965,Maramures,Altele,8233,,Sub Șatră,PDT,Limba română
Șatra,șatră,3,45.7334063466991,21.5237392420752,Timis,Altele,7641,,Șatra,Geomil 25000,Limba română
